glpostingdate,timestamp,aftercloseflag,sourcename,glaccountid,glaccountname,deptname,divisionname,deptid,dividx,username,ref1,sourceidx,drcr,amount,dr,cr,reportdate,astitle,ascompanyname,rolluppayments,ponum
10/22/25 0:00,10/22/25 13:43,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,"Consumer Fresh Produce, Inc.`201507Pittsburgh",10,C,-5400,0,5400,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",1043,
10/22/25 0:00,10/22/25 13:43,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,"Consumer Fresh Produce, Inc.`201507Pittsburgh",10,D,5580,5580,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",1044,
10/22/25 0:00,10/22/25 13:45,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,O.K. Produce`203774Ca,10,C,-1800,0,1800,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",1045,
10/22/25 0:00,10/22/25 13:45,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,O.K. Produce`203774Ca,10,D,2400,2400,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",1046,
10/22/25 0:00,10/22/25 13:46,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,O.K. Produce`203775Ca,10,C,-1800,0,1800,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",1059,
10/22/25 0:00,10/22/25 13:46,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,O.K. Produce`203775Ca,10,D,2100,2100,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",1060,
10/22/25 0:00,10/22/25 13:47,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,O.K. Produce`203779Ca,10,C,-1800,0,1800,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",1061,
10/22/25 0:00,10/22/25 13:47,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,O.K. Produce`203779Ca,10,D,1900,1900,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",1062,
10/22/25 0:00,10/22/25 13:47,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,O.K. Produce`203781Ca,10,C,-1800,0,1800,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",807,
10/22/25 0:00,10/22/25 13:47,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,O.K. Produce`203781Ca,10,D,2200,2200,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",808,
10/22/25 0:00,10/22/25 13:48,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,North American Produce`203794Philadelphia,10,C,-6400,0,6400,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",809,
10/22/25 0:00,10/22/25 13:48,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,North American Produce`203794Philadelphia,10,D,6650,6650,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",810,
